Assembly Accession	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_024740915.1	Hoolock leuconedys	2786331100	Scaffold	2022-08-24	JAKDFK01	22338800	22338800
GCA_023748175.1	Hoolock leuconedys	2784997387	Scaffold	2022-06-16	JAKGGE01	22338800	22338800
GCA_016433075.1	Hoplolaimus columbus	46941449	Contig	2020-12-29	JAEHOM01	7546	
GCA_016432905.1	Hoplolaimus galeatus	13242996	Contig	2020-12-29	JAEHOL01	7300	
GCA_900660355.1	Hoplostethus atlanticus	520173038	Scaffold	2019-06-18	CABFOO01	7812	15562
GCA_900070015.1	Hordeum bulbosum	1294872816	Scaffold	2017-02-22	CBQS01	498	511
GCA_022496015.1	Hordeum marinum	3815965547	Chromosome	2022-03-07	JAAAWK01	6835372	524471465
GCA_000582825.1	Hordeum pubiflorum	1425274558	Scaffold	2013-08-30	CBMN01	1475	1662
GCA_000947855.1	Hordeum vulgare	98055987	Contig	2015-03-01	CEGH01	239	
GCA_004114815.1	Hordeum vulgare	4006124924	Scaffold	2019-01-28	SDOW01	1562846	4006227
GCA_017309745.1	Hordeum vulgare	4123256168	Chromosome	2021-03-10	JAFEGY01	447153	537273677
GCA_024137805.1	Hordeum vulgare	5110996495	Chromosome	2022-07-06	JACSIP01	1669008	668540849
GCA_900067785.1	Hordeum vulgare	316110194	Contig	2019-02-14	CEGM01	248	
GCA_900067795.1	Hordeum vulgare	161165980	Contig	2019-02-14	CEGI01	251	
GCA_900067805.1	Hordeum vulgare	160634686	Contig	2019-02-14	CEGJ01	249	
GCA_900067815.1	Hordeum vulgare	233128652	Contig	2019-02-14	CEGL01	244	
GCA_900067825.1	Hordeum vulgare	207794998	Contig	2019-02-14	CEGK01	246	
GCA_900075435.2	Hordeum vulgare	9788863784	Scaffold	2016-10-18	FJWB02	21751	156010
GCA_910594075.1	Hordeum vulgare	4533166963	Contig	2022-07-14	CAJVDK01	5788	
GCA_910594135.1	Hordeum vulgare	4499237726	Contig	2022-07-14	CAJVDY01	5967	
GCA_910594185.1	Hordeum vulgare	4503307283	Contig	2022-07-14	CAJVEK01	6766	
GCA_910594235.1	Hordeum vulgare	4498194644	Contig	2022-07-14	CAJVDT01	5995	
GCA_910594245.1	Hordeum vulgare	4577889623	Contig	2022-08-05	CAJVEW01	5659	
GCA_910594275.1	Hordeum vulgare	4478579666	Contig	2022-07-14	CAJVDL01	6210	
GCA_910594295.1	Hordeum vulgare	4501796588	Contig	2022-07-14	CAJVEB01	5568	
GCA_910594375.1	Hordeum vulgare	4409400045	Contig	2022-07-13	CAJVEP01	4929	
GCA_910594385.1	Hordeum vulgare	4512396243	Contig	2022-07-14	CAJVEH01	5989	
GCA_910594395.1	Hordeum vulgare	4548921585	Contig	2022-07-14	CAJVEL01	5083	
GCA_910594505.1	Hordeum vulgare	4504789993	Contig	2022-07-14	CAJVDS01	6282	
GCA_910594525.1	Hordeum vulgare	4392767409	Contig	2022-07-13	CAJVEM01	6367	
GCA_910594565.1	Hordeum vulgare	4431471225	Contig	2022-07-14	CAJVEJ01	5173	
GCA_916098225.1	Hordeum vulgare	4051283672	Chromosome	2022-03-23	CAJZLU01	2766896	563957086
GCA_907165085.1	Hordeum vulgare subsp. spontaneum	4498595296	Chromosome	2021-07-07	CAJRBJ01	35333	631979072
GCF_904849725.1	Hordeum vulgare subsp. vulgare	4225577519	Chromosome	2021-04-01	CAJHDD01	69630691	610333535
GCA_000227425.1	Hordeum vulgare subsp. vulgare	28015997	Contig	2011-07-18	BACC01	7515	
GCA_000326085.1	Hordeum vulgare subsp. vulgare	1868644920	Scaffold	2012-11-13	CAJW01	1170	1425
GCA_000326125.1	Hordeum vulgare subsp. vulgare	1779486241	Scaffold	2012-11-15	CAJX01	1647	1986
GCA_001077415.1	Hordeum vulgare subsp. vulgare	1645577724	Scaffold	2014-07-08	CBLZ01	1333	1469
GCA_002900805.1	Hordeum vulgare subsp. vulgare	2019369188	Scaffold	2013-02-28	CAJV01	988	1419
GCA_002943585.1	Hordeum vulgare subsp. vulgare	57532895	Contig	2018-02-26	PKQG01	4079	
GCA_012180865.1	Hordeum vulgare subsp. vulgare	10245194	Contig	2020-04-06	SJRV01	11359	
GCA_012184465.1	Hordeum vulgare subsp. vulgare	84045158	Contig	2020-04-08	WMLK01	6342	
GCA_900002345.1	Hordeum vulgare subsp. vulgare	1825167683	Scaffold	2017-02-23	CCJR01	1037	1327
GCA_901482405.1	Hordeum vulgare subsp. vulgare	4833791107	Scaffold	2019-06-02	CABEFD01	19388	657224000
GCA_902375235.1	Hordeum vulgare subsp. vulgare	4830075821	Chromosome	2019-09-04	CABLCX01	19389	657224000
GCA_902498975.1	Hordeum vulgare subsp. vulgare	4340662132	Chromosome	2019-11-18	CABVLW01	74912	624247919
GCA_902499585.1	Hordeum vulgare subsp. vulgare	4342738950	Chromosome	2019-10-22		74912	624247919
GCA_902500625.1	Hordeum vulgare subsp. vulgare	4129363524	Scaffold	2019-10-15	CABVVH01	24393	571018318
GCA_902505935.1	Hordeum vulgare subsp. vulgare	4787920233	Scaffold	2019-11-07	CABWKO01	19379	1309391
GCA_903813605.1	Hordeum vulgare subsp. vulgare	4257712555	Chromosome	2020-06-28	CAIIXW01	76365	624247919
GCA_903970685.1	Hordeum vulgare subsp. vulgare	4278655279	Chromosome	2021-09-22	CAJCJM01	96252	597403059
GCA_903970725.1	Hordeum vulgare subsp. vulgare	4837636723	Chromosome	2020-08-11	CAJCJR01	36357	665297378
GCA_903994145.1	Hordeum vulgare subsp. vulgare	4139834064	Chromosome	2020-08-12	CAJEWJ01	10021355	593744788
GCA_904848275.1	Hordeum vulgare subsp. vulgare	4139749364	Scaffold	2021-02-09	CAJHCB01	10240229	10240229
GCA_904848285.1	Hordeum vulgare subsp. vulgare	4137447696	Contig	2021-02-09	CAJHBY01	14237967	
GCA_904848295.1	Hordeum vulgare subsp. vulgare	4481669561	Contig	2021-02-09	CAJHCA01	28658690	
GCA_904848305.1	Hordeum vulgare subsp. vulgare	4194419432	Contig	2021-02-09	CAJHBX01	24223594	
GCA_904848315.1	Hordeum vulgare subsp. vulgare	4066303459	Contig	2021-02-09	CAJHBZ01	2849417	
GCA_904848325.1	Hordeum vulgare subsp. vulgare	4647063978	Scaffold	2021-02-10	CAJHCC01	68726	3437029
GCA_904849715.1	Hordeum vulgare subsp. vulgare	4140078848	Contig	2021-02-10	CAJHDE01	496004	
GCA_904849725.1	Hordeum vulgare subsp. vulgare	4225577519	Chromosome	2021-04-01	CAJHDD01	69630691	610333535
GCA_905310525.1	Hordeum vulgare subsp. vulgare	4064890003	Chromosome	2021-03-19	CAJNQB01	24793	571018318
GCA_907165075.1	Hordeum vulgare subsp. vulgare	4439131385	Chromosome	2022-02-18	CAJRBG01	41161	629672760
GCA_927798485.1	Hordeum vulgare subsp. vulgare	4269338747	Contig	2022-06-10	CAKMNT01	14195336	
GCA_017140985.1	Hormaphis cornu	319692780	Chromosome	2021-03-09	JABAOA01	66442	36083769
GCA_020137815.1	Hormiphora californensis	110678691	Chromosome	2021-10-05	WFME01	595295	8537259
GCA_013401035.1	Horornis vulcanius	1223573813	Scaffold	2020-07-10	VZUA01	3129	15429
GCA_022701445.1	Hortaea sp. C3G1500-4	27806316	Scaffold	2022-03-28	JAJVDI01	1178918	1181256
GCA_024761355.1	Hortaea werneckii	26696025	Contig	2022-08-29	JAHCCD01	176147	
GCA_003704345.1	Hortaea werneckii	48719850	Contig	2018-10-31	QWIJ01	19931	
GCA_003704355.1	Hortaea werneckii	48519428	Contig	2018-10-31	QWIL01	15673	
GCA_003704375.1	Hortaea werneckii	48314878	Contig	2018-10-31	QWIK01	19216	
GCA_003704385.1	Hortaea werneckii	48620809	Contig	2018-10-31	QWIM01	16224	
GCA_003704575.1	Hortaea werneckii	49189099	Contig	2018-10-31	QWIN01	21041	
GCA_003704585.1	Hortaea werneckii	48143407	Contig	2018-10-31	QWIP01	47785	
GCA_003704595.1	Hortaea werneckii	50418870	Contig	2018-10-31	QWIO01	15252	
GCA_003704615.1	Hortaea werneckii	45153669	Contig	2018-10-31	QWIQ01	55149	
GCA_003704645.1	Hortaea werneckii	25254396	Contig	2018-10-31	QWIR01	119198	
GCA_003704675.1	Hortaea werneckii	25193886	Contig	2018-10-31	QWIS01	104578	
GCA_003704685.1	Hortaea werneckii	49368738	Contig	2018-10-31	QWIT01	59142	
GCA_014843535.1	Hortaea werneckii	51030459	Scaffold	2020-10-05	JACSRB01	144975	164832
GCA_014843615.1	Hortaea werneckii	50705820	Scaffold	2020-10-05	JACSRC01	113743	132783
GCA_015295615.1	Hortaea werneckii	9816071	Contig	2020-11-09	JADCRM01	5040	
GCA_024760885.1	Hortaea werneckii	28123253	Contig	2022-08-29	JAHCBI01	124910	
GCA_024760895.1	Hortaea werneckii	52033578	Contig	2022-08-29	JAHCBJ01	40578	
GCA_024760925.1	Hortaea werneckii	49215514	Contig	2022-08-29	JAHCBH01	25497	
GCA_024760935.1	Hortaea werneckii	27797632	Contig	2022-08-29	JAHCBK01	117108	
GCA_024760945.1	Hortaea werneckii	49674366	Contig	2022-08-29	JAHCBG01	24072	
GCA_024760975.1	Hortaea werneckii	26912836	Contig	2022-08-29	JAHCBL01	101635	
GCA_024760995.1	Hortaea werneckii	47600411	Contig	2022-08-29	JAHCBM01	6214	
GCA_024761015.1	Hortaea werneckii	25256121	Contig	2022-08-29	JAHCBO01	127009	
GCA_024761035.1	Hortaea werneckii	49237511	Contig	2022-08-29	JAHCBP01	26399	
GCA_024761055.1	Hortaea werneckii	49201980	Contig	2022-08-29	JAHCBQ01	25113	
GCA_024761095.1	Hortaea werneckii	49218595	Contig	2022-08-29	JAHCBR01	25772	
GCA_024761105.1	Hortaea werneckii	49255087	Contig	2022-08-29	JAHCBS01	26112	
GCA_024761115.1	Hortaea werneckii	25293481	Contig	2022-08-29	JAHCBT01	151429	
GCA_024761135.1	Hortaea werneckii	47455294	Contig	2022-08-29	JAHCBN01	6103	
GCA_024761155.1	Hortaea werneckii	49259008	Contig	2022-08-29	JAHCBU01	26117	
GCA_024761195.1	Hortaea werneckii	49481936	Contig	2022-08-29	JAHCBV01	27130	
GCA_024761215.1	Hortaea werneckii	49157869	Contig	2022-08-29	JAHCBX01	25018	
GCA_024761265.1	Hortaea werneckii	26035905	Contig	2022-08-29	JAHCBZ01	156889	
GCA_024761275.1	Hortaea werneckii	51137087	Contig	2022-08-29	JAHCBY01	52001	
GCA_024761295.1	Hortaea werneckii	49284278	Contig	2022-08-29	JAHCCB01	26196	
GCA_024761335.1	Hortaea werneckii	25264211	Contig	2022-08-29	JAHCCC01	125827	
GCA_024761375.1	Hortaea werneckii	25226733	Contig	2022-08-29	JAHCCF01	122132	
GCA_024761435.1	Hortaea werneckii	25260513	Contig	2022-08-29	JAHCCE01	128912	
GCA_024761455.1	Hortaea werneckii	51467244	Contig	2022-08-29	JAHCCG01	29537	
GCA_024761475.1	Hortaea werneckii	27561915	Contig	2022-08-29	JAHCCH01	82320	
GCA_024761495.1	Hortaea werneckii	25538748	Contig	2022-08-29	JAHCCI01	121110	
GCA_024761515.1	Hortaea werneckii	46904510	Contig	2022-08-29	JAHCCK01	15834	
GCA_024761535.1	Hortaea werneckii	30763599	Contig	2022-08-29	JAHCCJ01	96569	
GCA_024761555.1	Hortaea werneckii	48773353	Contig	2022-08-29	JAHCCO01	39118	
GCA_024761565.1	Hortaea werneckii	50892876	Contig	2022-08-29	JAHCCL01	39928	
GCA_024761585.1	Hortaea werneckii	94666095	Contig	2022-08-29	JAHCBW01	5157	
GCA_024761605.1	Hortaea werneckii	50116779	Contig	2022-08-29	JAHCCR01	24204	
GCA_024761615.1	Hortaea werneckii	46993819	Contig	2022-08-29	JAHCCM01	12480	
GCA_024761635.1	Hortaea werneckii	27595270	Contig	2022-08-29	JAHCCN01	84172	
GCA_024761655.1	Hortaea werneckii	26718923	Contig	2022-08-29	JAHCCQ01	103427	
GCA_024761675.1	Hortaea werneckii	49239787	Contig	2022-08-29	JAHCCS01	25939	
GCA_024761685.1	Hortaea werneckii	49094626	Contig	2022-08-29	JAHCCV01	26174	
GCA_024761695.1	Hortaea werneckii	48974275	Contig	2022-08-29	JAHCCU01	23764	
GCA_024761765.1	Hortaea werneckii	25786986	Contig	2022-08-29	JAHCCX01	125755	
GCA_024761785.1	Hortaea werneckii	50486905	Contig	2022-08-29	JAHCTQ01	7024	
GCA_024761805.1	Hortaea werneckii	49289085	Contig	2022-08-29	JAHCTS01	5389	
GCA_024761825.1	Hortaea werneckii	47945763	Contig	2022-08-29	JAHCTR01	7411	
GCA_024761845.1	Hortaea werneckii	56606809	Contig	2022-08-29	JAHCCP01	15796	
GCA_024761865.1	Hortaea werneckii	26349826	Contig	2022-08-29	JAHCCW01	153349	
GCA_024761885.1	Hortaea werneckii	49104061	Contig	2022-08-29	JAHCCT01	24371	
GCA_024761915.1	Hortaea werneckii	25197503	Contig	2022-08-29	JAHCCY01	142722	
GCA_024761945.1	Hortaea werneckii	48628018	Contig	2022-08-29	JAHCTT01	5231	
GCA_024761965.1	Hortaea werneckii	48105426	Contig	2022-08-29	JAHCTV01	5260	
GCA_024761985.1	Hortaea werneckii	48599963	Contig	2022-08-29	JAHCTU01	5335	
GCA_024762005.1	Hortaea werneckii	49702945	Contig	2022-08-29	JAHCTY01	6824	
GCA_024762025.1	Hortaea werneckii	47961891	Contig	2022-08-29	JAHCTW01	5414	
GCA_024762045.1	Hortaea werneckii	47402245	Contig	2022-08-29	JAHCTX01	6096	
GCA_024863865.1	Hortaea werneckii	47883646	Contig	2022-09-02	JAHCCA01	7397	
GCA_000410955.1	Hortaea werneckii EXF-2000	51674499	Scaffold	2013-06-17	AIJO01	8187	9279
GCA_002127715.1	Hortaea werneckii EXF-2000	49743999	Contig	2017-05-11	MUNK01	153735	
GCA_018248535.1	Hovala pardalina	263371348	Contig	2021-05-03	DWIW01	2154	
GCA_916700935.1	Hozukius emblemarius	834246755	Scaffold	2021-10-09	CAKALT01	23430	41075
GCA_916700995.1	Hozukius guyotensis	835738012	Scaffold	2021-10-09	CAKALU01	27170	43437
GCA_003317085.1	Hucho hucho	2487549814	Scaffold	2018-07-13	QNTS01	37639	287338
GCA_023660075.1	Humulus lupulus	3711963939	Contig	2022-06-07	JALDWI01	672603	
GCA_000830395.1	Humulus lupulus var. cordifolius	2049208583	Scaffold	2014-12-20	BBPB01	10902	37081
GCA_000831365.1	Humulus lupulus var. lupulus	2049208583	Scaffold	2014-12-22	BBPC01	10902	37081
GCA_002018275.1	Huntiella bhutanensis	26695738	Scaffold	2017-03-03	MJMS01	123585	206422
GCA_003032515.1	Huntiella decipiens	26626632	Scaffold	2018-04-04	NETU01	52127	194727
GCA_000712465.1	Huntiella moniliformis	25429610	Scaffold	2014-06-26	JMSH01	104426	194526
GCA_000833645.1	Huntiella omanensis	31125221	Scaffold	2015-02-09	JSUI01	36513	41731
GCA_001483325.1	Huntiella savannae	28542441	Scaffold	2015-12-30	LCZG01	56129	224745
GCF_003009895.1	Hyaena hyaena	2374716107	Scaffold	2018-03-19	PEQU01	311202	2001327
GCA_003009895.1	Hyaena hyaena	2374716107	Scaffold	2018-03-19	PEQU01	311202	2001327
GCA_004023945.1	Hyaena hyaena	2445474026	Scaffold	2019-01-15	PITC01	51677	66490
GCF_000764305.2	Hyalella azteca	542348180	Scaffold	2019-09-09	JQDR03	112853	213783
GCA_000764305.4	Hyalella azteca	542348180	Scaffold	2019-09-09	JQDR03	112853	213783
GCA_013339685.2	Hyalomma asiaticum	1713574309	Chromosome	2020-06-16	JABSTT01	555418	137335073
GCA_910592705.1	Hyalomma marginatum	1510130	Contig	2022-02-17	CAJUZP01	382079	
GCA_910592695.1	Hyalomma marginatum	1168604	Contig	2022-05-18	CAJVAG01	19133	
GCA_910592725.1	Hyalomma marginatum	1144281	Contig	2022-02-17	CAJUZM01	12627	
GCA_910592745.1	Hyalomma marginatum	1510123	Contig	2022-02-17	CAJUZO01	254696	
GCA_910592765.1	Hyalomma marginatum	1356794	Contig	2022-02-17	CAJUZW01	67640	
GCA_910592815.1	Hyalomma marginatum	1536710	Contig	2022-02-17	CAJUZN01	106485	
GCA_910592865.1	Hyalomma marginatum	1130547	Contig	2022-05-18	CAJVAF01	9834	
GCA_001414265.1	Hyaloperonospora arabidopsidis	70257463	Scaffold	2015-10-27	LKIA01	22026	23816
GCA_001414525.1	Hyaloperonospora arabidopsidis	74456230	Scaffold	2015-10-27	LLKM01	18147	19328
GCA_000173235.2	Hyaloperonospora arabidopsidis Emoy2	78380535	Scaffold	2012-01-25	ABWE02	41855	332402
GCA_019297655.1	Hyaloperonospora brassicae	76948046	Scaffold	2021-07-21	SZZI01	12068	24471
GCA_019297675.1	Hyaloperonospora brassicae	72155539	Scaffold	2021-07-21	SZZJ01	10021	23534
GCF_002865645.1	Hyaloscypha bicolor E	82384847	Scaffold	2018-01-08	LXPI01	1166752	1976469
GCA_002865645.1	Hyaloscypha bicolor E	82384847	Scaffold	2018-01-08	LXPI01	1166752	1976469
GCA_021399475.1	Hyaloscypha finlandica	64032857	Contig	2022-01-10	JAJTUR01	359327	
GCA_002865625.1	Hyaloscypha hepaticicola	57408471	Scaffold	2018-01-08	LYBP01	174367	700593
GCA_021399465.1	Hyaloscypha sp. PMI_1271	62840624	Contig	2022-01-10	JAJTUS01	236942	
GCA_002865655.1	Hyaloscypha variabilis F	55857776	Scaffold	2018-01-08	LXPR01	472131	2140165
GCA_018250315.1	Hyalothyrus neleus pemphigargyra	369354758	Contig	2021-05-03	DWNK01	3068	
GCA_013841215.1	Hycleus cichorii	99165299	Scaffold	2020-07-28	JACDRQ01	86942	99766
GCA_013841185.1	Hycleus phaleratus	90869815	Scaffold	2020-07-28	JACDRP01	75478	78049
GCA_900622495.1	Hydatigera taeniaeformis	103664560	Scaffold	2018-12-05	UYWX01	9405	12558
GCA_000827185.1	Hydnomerulius pinastri MD-312	38278792	Scaffold	2015-01-23	JMSK01	51122	689477
GCA_014904985.1	Hydnum rufescens UP504	67135451	Scaffold	2020-10-20	WIOR01	72042	217568
GCA_024195425.1	Hydra oligactis	1267755931	Scaffold	2022-07-08	JALDAD01	273301	273500
GCA_004118135.1	Hydra oligactis	1262382274	Scaffold	2019-01-29	PJUT01	4942	5395
GCA_014706445.1	Hydra viridissima	284246930	Scaffold	2020-09-23	QPEY01	19520	1079704
GCA_004118115.1	Hydra viridissima	298800308	Scaffold	2019-01-29	PJUU01	10823	11911
GCF_022113875.1	Hydra vulgaris	819386744	Chromosome	2022-02-14	JAGKSS01	756747	55045248
GCF_000004095.1	Hydra vulgaris	852155112	Scaffold	2009-10-30	ACZU01	10113	96317
GCA_000004095.1	Hydra vulgaris	852155112	Scaffold	2009-10-30	ACZU01	10113	96317
GCA_000219015.1	Hydra vulgaris	1260273246	Scaffold	2008-08-14	ABRM01	12864	64586
GCA_022113875.1	Hydra vulgaris	819386744	Chromosome	2022-02-14	JAGKSS01	756747	55045248
GCA_024232925.1	Hydra vulgaris	922866716	Chromosome	2022-07-13	JALDPZ01	4663915	59555380
GCA_914767645.1	Hydraecia micacea	562425167	Chromosome	2021-09-16	CAJZBC01	18807492	18862954
GCA_914767565.1	Hydraecia micacea	503427563	Contig	2021-09-15	CAJZBE01	2781100	
GCA_013391885.1	Hydrangea macrophylla	2256097326	Scaffold	2020-06-24	BLYA01	39432	1478677
GCA_013391905.1	Hydrangea macrophylla	2227567818	Scaffold	2020-06-24	BLYB01	43584	1440438
GCA_912999785.1	Hydriomena furcata	423302054	Chromosome	2021-08-18	CAJVWF01	13929574	16092901
GCA_912999755.1	Hydriomena furcata	421170847	Contig	2021-08-18	CAJVWD01	5188503	
GCA_004027455.1	Hydrochoerus hydrochaeris	2734590088	Scaffold	2019-01-16	PVLA01	148451	202224
GCA_014189835.1	Hydrochoerus hydrochaeris	2482213986	Scaffold	2020-08-11	BIFG01	7186	7745
GCA_015741225.1	Hydrochoerus hydrochaeris	2590838763	Chromosome	2020-12-04	JADBBS01	78808	71052467
GCA_013391785.1	Hydrodamalis gigas	1239941981	Scaffold	2020-07-08	JACANZ01	1345	1430
GCA_001703475.1	Hydroides elegans	1026046400	Scaffold	2016-08-11	LQRL01	5980	17329
GCA_012026655.1	Hydrolagus affinis	1114272990	Scaffold	2020-04-03	JAAILG01	15857	19535
GCA_019472885.1	Hydrophis curtus	1964827820	Chromosome	2021-08-09	JABAHG01	9704100	266229956
GCA_019473425.1	Hydrophis cyanocinctus	1980712740	Chromosome	2021-08-09	JAAZTL01	18985681	264245889
GCA_004023725.1	Hydrophis cyanocinctus	1389857256	Scaffold	2019-01-15	RSAE01	3626	7437
GCA_004023765.1	Hydrophis hardwickii	1296394113	Scaffold	2019-01-15	RSAD01	2852	5391
GCA_004320005.1	Hydrophis melanocephalus	1402639853	Scaffold	2019-02-13	BHFS01	7411	59810
GCA_020226075.1	Hydropotes inermis	2540444434	Chromosome	2021-10-05	JAGTXW01	131414	74967728
GCA_006459105.1	Hydropotes inermis	2530176423	Scaffold	2019-06-25	SPDZ01	131446	13818975
GCA_009617725.1	Hydropsyche tenuis	229663394	Contig	2019-11-07	VTON01	2190134	
GCA_900617105.1	Hydrurus foetidus	171182409	Contig	2019-04-01	UYFQ01	43856	
GCA_900068975.1	Hygrocybe conica	67958227	Scaffold	2020-07-09	CEMM01	3233	5979
GCA_021014935.1	Hygrophoropsis aurantiaca	36975565	Scaffold	2021-11-30	JAEVFM01	37273	50758
GCA_003314045.1	Hygrophorus pudorinus	77122045	Scaffold	2018-07-11	QLPF01	7611	9955
GCA_003314125.1	Hygrophorus russula	27660702	Scaffold	2018-07-11	QLPE01	12145	27977
GCA_905147375.1	Hylaea fasciaria	327919484	Chromosome	2021-01-28	CAJHVH01	11053481	11686647
GCA_905147295.1	Hylaea fasciaria	256092023	Scaffold	2021-01-28	CAJHVB01	825097	825097
GCA_023078785.2	Hyles euphorbiae	504308118	Chromosome	2022-04-21	JALBCW01	2758341	18182747
GCA_023078775.1	Hyles euphorbiae	328673533	Scaffold	2022-04-21	JALBCX01	571742	573042
GCA_009982885.2	Hyles vespertilio	651427907	Chromosome	2022-06-07	WUWR02	7263332	22136963
GCA_013397195.1	Hylia prasina	1029027164	Scaffold	2020-07-10	VYXD01	64125	688804
GCF_009828535.2	Hylobates moloch	2848329432	Scaffold	2020-02-13	WKKJ02	265822	125196221
GCA_009828535.3	Hylobates moloch	2848323459	Scaffold	2021-11-10	WKKJ03	265822	125196221
GCA_009828535.2	Hylobates moloch	2848329432	Scaffold	2020-02-13	WKKJ02	265822	125196221
GCA_021498465.1	Hylobates pileatus	2851401333	Chromosome	2022-01-19	JAKFGR01	17385161	131825309
GCA_019843855.1	Hylomyscus alleni	2183244924	Scaffold	2021-09-01	JADRCC01	4202	4568
GCA_023701765.1	Hylyphantes graminicola	936076414	Chromosome	2022-06-10	JAJQQY01	785493	77076427
GCA_019400425.1	Hymenochaete sp. R1	28452148	Scaffold	2021-07-29	JAFREE01	129489	136454
GCA_019447015.1	Hymenochirus boettgeri	3210867089	Chromosome	2021-08-05	JAACNH01	783846	293320900
GCA_900708905.1	Hymenolepis diminuta	177347734	Scaffold	2019-03-25	CAADRB01	75101	2537350
GCA_900618445.1	Hymenolepis diminuta	165878914	Scaffold	2018-12-05	UYSG01	38145	49882
GCA_902177915.1	Hymenolepis diminuta	177074070	Scaffold	2019-08-06	CABIJS01	75101	2331359
GCA_000469805.3	Hymenolepis microstoma	168929297	Chromosome	2019-03-07		5805005	25815276
GCA_003314085.1	Hymenopellis chiangmaiae	80374122	Scaffold	2018-07-11	QLPD01	17137	17454
GCA_015501595.1	Hymenopellis radicata	78586690	Contig	2020-11-16	JADNRX01	104573	
GCA_003314005.1	Hymenopellis radicata	71434061	Scaffold	2018-07-11	QLOW01	5920	6072
GCA_911693285.1	Hymenoscyphus albidus	51176630	Scaffold	2021-08-03	CAJVRM01	59648	135308
GCA_900184765.1	Hymenoscyphus fraxineus	63496644	Scaffold	2018-01-02	FXXO01	59749	3040285
GCA_001414365.1	Hymenoscyphus fraxineus	51524987	Contig	2015-10-27	LLCC01	24374	
GCA_911649665.1	Hymenoscyphus fraxineus	64195162	Scaffold	2021-08-03	CAJVRL01	73204	1033808
GCA_001414455.1	Hymenoscyphus fructigenus	61124938	Contig	2015-10-27	LKUV01	373842	
GCA_001414485.1	Hymenoscyphus herbarum	69308136	Contig	2015-10-27	LLEY01	325154	
GCA_001414345.1	Hymenoscyphus infarciens	68152485	Contig	2015-10-27	LLCB01	156341	
GCA_902652825.1	Hymenoscyphus koreanus	57197686	Scaffold	2019-11-21	CACRVL01	95493	97064
GCA_001414375.1	Hymenoscyphus laetus	36473783	Contig	2015-10-27	LLCA01	257815	
GCA_900536425.1	Hymenoscyphus linearis	50321423	Scaffold	2018-08-31	UNPR01	173920	175889
GCA_900536445.1	Hymenoscyphus occultus	57851676	Scaffold	2018-08-31	UNPT01	95100	95493
GCA_001414415.1	Hymenoscyphus repandus	42813648	Contig	2015-10-27	LLCE01	226427	
GCA_001414355.1	Hymenoscyphus salicellus	57952665	Contig	2015-10-27	LLCD01	9574	
GCA_001399465.1	Hymenoscyphus scutula	63226382	Contig	2015-10-19	LKTO01	72955	
GCA_021365295.1	Hymenoscyphus varicosporioides	48242133	Contig	2022-01-05	JAJTIW01	1155614	
GCA_003988905.1	Hymenotorrendiella dingleyae	56478799	Scaffold	2018-12-31	QYAP01	62627	69088
GCA_015847255.1	Hyparrhenia diplandra	2072009970	Scaffold	2020-12-08	JADLZK01	294320	294320
GCA_905147285.1	Hypena proboscidalis	636770889	Chromosome	2021-01-28	CAJHVD01	18834925	21969129
GCA_905147305.1	Hypena proboscidalis	598700299	Scaffold	2021-01-28	CAJHVE01	2744547	2750955
GCA_012979155.1	Hypericum perforatum	352864971	Scaffold	2020-05-06	SOPF01	37536	63459
GCA_018247875.1	Hypermnestra helios helios	184356299	Contig	2021-05-03	DWHL01	325	
GCA_018246135.1	Hypermnestra helios maxima	280716640	Contig	2021-05-03	DWTY01	402	
GCA_024363105.1	Hyperoodon ampullatus	2351343742	Scaffold	2022-07-21	JALGBC01	55734	132887
GCA_003709505.1	Hyphantria cunea	510511702	Scaffold	2018-11-01	PKRV01	152331	1126406
GCA_900088475.1	Hyphochytrium catenoides	60978586	Scaffold	2016-12-10	FLMG01	15635	35572
GCA_000327025.2	Hyphochytrium catenoides	85142588	Contig	2011-11-01	CAFC02	394	
GCA_016508695.1	Hyphodiscus hymeniophilus	35099609	Contig	2021-01-05	VNKQ01	1935564	
GCA_003988895.1	Hyphodiscus sp. D1413	34520837	Scaffold	2018-12-31	QYAO01	522846	538937
GCA_016801325.1	Hypholoma fasciculare	49753190	Scaffold	2021-02-02	JAEKIV01	43841	46358
GCA_000827495.1	Hypholoma sublateritium FD-334 SS-4	48031814	Scaffold	2015-03-02	JMSJ01	142934	298747
GCA_003856795.1	Hyphopichia burtonii	12496550	Complete Genome	2018-12-03		1851320	1851320
GCA_018343885.1	Hyphopichia burtonii	12457688	Scaffold	2021-05-12	JADIOS01	205348	428067
GCF_001661395.1	Hyphopichia burtonii NRRL Y-1933	12403110	Scaffold	2016-09-15	LYBQ01	114103	1853527
GCA_001661395.1	Hyphopichia burtonii NRRL Y-1933	12403110	Scaffold	2016-09-15	LYBQ01	114103	1853527
GCA_003708205.1	Hyphopichia gotoi	13322283	Scaffold	2018-10-31	PPNP01	547273	547273
GCA_003706925.2	Hyphopichia heimii	12960784	Scaffold	2018-11-20	PPMQ02	117138	117138
